"Date","O18"
1871-01-15,-6.12074708938599
1871-02-15,-1.61916625499725
1871-03-15,-2.36799001693726
1871-04-15,-3.72353172302246
1871-05-15,-4.9472279548645
1871-06-15,-3.69383931159973
1871-07-15,-4.73697996139526
1871-08-15,-5.06415128707886
1871-09-15,-3.58128070831299
1871-10-15,-3.25272679328918
1871-11-15,-2.44016003608704
1871-12-15,-3.43998265266418
1872-01-15,-5.17133283615112
1872-02-15,-4.17310762405396
1872-03-15,-2.94529747962952
1872-04-15,-4.33632183074951
1872-05-15,-4.37727975845337
1872-06-15,-4.89581060409546
1872-07-15,-5.09543704986572
1872-08-15,-6.03606557846069
1872-09-15,-4.36572265625
1872-10-15,-6.66545534133911
1872-11-15,-0.753629803657532
1872-12-15,-1.56009769439697
1873-01-15,-12.3356466293335
1873-02-15,-1.63507175445557
1873-03-15,-5.89799451828003
1873-04-15,-3.70559239387512
1873-05-15,-3.56250309944153
1873-06-15,-6.20009183883667
1873-07-15,-5.02370834350586
1873-08-15,-5.11321592330933
1873-09-15,-5.33184862136841
1873-10-15,-5.11907720565796
1873-11-15,0.168329209089279
1873-12-15,-2.69541168212891
1874-01-15,-3.33155083656311
1874-02-15,-9.47927474975586
1874-03-15,-3.86824011802673
1874-04-15,-7.24198293685913
1874-05-15,-3.88478755950928
1874-06-15,-4.58908319473267
1874-07-15,-5.96689605712891
1874-08-15,-6.52320241928101
1874-09-15,-4.28630113601685
1874-10-15,-5.27486276626587
1874-11-15,-2.51256513595581
1874-12-15,-2.12530279159546
1875-01-15,-3.11046051979065
1875-02-15,-3.17446637153625
1875-03-15,-2.32752847671509
1875-04-15,-3.71665668487549
1875-05-15,-4.59214162826538
1875-06-15,-4.52955341339111
1875-07-15,-4.81355619430542
1875-08-15,-5.61757659912109
1875-09-15,-4.06999921798706
1875-10-15,-1.04537117481232
1875-11-15,-4.65594720840454
1875-12-15,-7.09743690490723
1876-01-15,-2.21192002296448
1876-02-15,-4.16227054595947
1876-03-15,-1.8204585313797
1876-04-15,-5.59504508972168
1876-05-15,-4.63689613342285
1876-06-15,-5.55657052993774
1876-07-15,-5.46088838577271
1876-08-15,-5.52694177627563
1876-09-15,-5.65682172775269
1876-10-15,-3.06466627120972
1876-11-15,-4.76977014541626
1876-12-15,-2.51593565940857
1877-01-15,-2.14673972129822
1877-02-15,-2.79640460014343
1877-03-15,-3.49412536621094
1877-04-15,-4.06610107421875
1877-05-15,-5.22332239151001
1877-06-15,-7.75750350952148
1877-07-15,-5.70072031021118
1877-08-15,-4.99636650085449
1877-09-15,-5.11515522003174
1877-10-15,-4.13790464401245
1877-11-15,-0.76923680305481
1877-12-15,-3.48025918006897
1878-01-15,-3.54275465011597
1878-02-15,-2.2261757850647
1878-03-15,-4.15804529190063
1878-04-15,-4.3045506477356
1878-05-15,-4.51015901565552
1878-06-15,-4.68517541885376
1878-07-15,-5.43343019485474
1878-08-15,-6.87053442001343
1878-09-15,-5.03825807571411
1878-10-15,-1.6415992975235
1878-11-15,-5.63570165634155
1878-12-15,-2.74033999443054
1879-01-15,-2.95900845527649
1879-02-15,-3.94464612007141
1879-03-15,-2.95725059509277
1879-04-15,-2.90840935707092
1879-05-15,-6.09768629074097
1879-06-15,-6.3699254989624
1879-07-15,-6.42185878753662
1879-08-15,-4.70853853225708
1879-09-15,-4.15930461883545
1879-10-15,-4.43877458572388
1879-11-15,-3.57385897636414
1879-12-15,-2.07938170433044
1880-01-15,-3.23002743721008
1880-02-15,-4.30157899856567
1880-03-15,-5.84341096878052
1880-04-15,-4.22177934646606
1880-05-15,-5.24529314041138
1880-06-15,-6.54448652267456
1880-07-15,-5.65857267379761
1880-08-15,-4.76377582550049
1880-09-15,-3.50781464576721
1880-10-15,-4.34625387191772
1880-11-15,-3.38559627532959
1880-12-15,-5.56053781509399
1881-01-15,-3.68757510185242
1881-02-15,-4.20055913925171
1881-03-15,-3.58067417144775
1881-04-15,-6.68308925628662
1881-05-15,-4.10481595993042
1881-06-15,-5.53960800170898
1881-07-15,-5.23211431503296
1881-08-15,-6.23392057418823
1881-09-15,-3.25908732414246
1881-10-15,-3.88771224021912
1881-11-15,-2.91307926177979
1881-12-15,-3.73871302604675
1882-01-15,-2.69440937042236
1882-02-15,-5.13168668746948
1882-03-15,-3.98264384269714
1882-04-15,-2.96156191825867
1882-05-15,-5.88436126708984
1882-06-15,-4.52162027359009
1882-07-15,-6.47862863540649
1882-08-15,-4.21977233886719
1882-09-15,-3.16799426078796
1882-10-15,-2.73435115814209
1882-11-15,-4.55826759338379
1882-12-15,-3.73607182502747
1883-01-15,-5.71335458755493
1883-02-15,-3.36685013771057
1883-03-15,-4.30226707458496
1883-04-15,-5.46336507797241
1883-05-15,-3.21614646911621
1883-06-15,-6.09048223495483
1883-07-15,-5.98884725570679
1883-08-15,-5.60595321655273
1883-09-15,-4.53974294662476
1883-10-15,-5.06820058822632
1883-11-15,-3.77694535255432
1883-12-15,-2.91164517402649
1884-01-15,-5.28331279754639
1884-02-15,-3.46878147125244
1884-03-15,-3.81505799293518
1884-04-15,-3.47629523277283
1884-05-15,-4.80016088485718
1884-06-15,-6.12183094024658
1884-07-15,-5.63914680480957
1884-08-15,-5.83169746398926
1884-09-15,-5.03929328918457
1884-10-15,-3.6385862827301
1884-11-15,-3.79893255233765
1884-12-15,-4.00180387496948
1885-01-15,-1.09018766880035
1885-02-15,-2.06860947608948
1885-03-15,-3.72208571434021
1885-04-15,-4.60667276382446
1885-05-15,-4.96844339370728
1885-06-15,-3.95361423492432
1885-07-15,-6.63407850265503
1885-08-15,-4.8256049156189
1885-09-15,-4.40614318847656
1885-10-15,-5.11388969421387
1885-11-15,-6.17876863479614
1885-12-15,-4.88251113891602
1886-01-15,-3.10930943489075
1886-02-15,-2.44870018959045
1886-03-15,-4.78478384017944
1886-04-15,-7.1794285774231
1886-05-15,-5.1664342880249
1886-06-15,-5.30465602874756
1886-07-15,-6.1820821762085
1886-08-15,-3.77230334281921
1886-09-15,-4.95656776428223
1886-10-15,-2.46295380592346
1886-11-15,-4.14487552642822
1886-12-15,-4.39774036407471
1887-01-15,-3.77757787704468
1887-02-15,-5.08311319351196
1887-03-15,-5.22466802597046
1887-04-15,-4.73561811447144
1887-05-15,-4.69254875183105
1887-06-15,-6.13484525680542
1887-07-15,-8.08973026275635
1887-08-15,-5.4709587097168
1887-09-15,-3.10734796524048
1887-10-15,-3.4210467338562
1887-11-15,-3.34342408180237
1887-12-15,-2.87699031829834
1888-01-15,-3.41800093650818
1888-02-15,-3.82898354530334
1888-03-15,-3.13184094429016
1888-04-15,-5.5224814414978
1888-05-15,-8.05636501312256
1888-06-15,-6.84427881240845
1888-07-15,-4.78072881698608
1888-08-15,-4.60488319396973
1888-09-15,-3.21126961708069
1888-10-15,-3.36006426811218
1888-11-15,-2.6123161315918
1888-12-15,-4.8048210144043
1889-01-15,-3.55210065841675
1889-02-15,-4.10770130157471
1889-03-15,-4.66836214065552
1889-04-15,-4.64931344985962
1889-05-15,-5.88433694839478
1889-06-15,-6.80788564682007
1889-07-15,-7.61281728744507
1889-08-15,-5.00959300994873
1889-09-15,-5.80575132369995
1889-10-15,-3.03503561019897
1889-11-15,-3.50286626815796
1889-12-15,-5.85626792907715
1890-01-15,-7.10357522964478
1890-02-15,-7.47570848464966
1890-03-15,-5.27312994003296
1890-04-15,-6.45088338851929
1890-05-15,-5.61519193649292
1890-06-15,-7.92950105667114
1890-07-15,-5.42775058746338
1890-08-15,-7.14743947982788
1890-09-15,-4.40837287902832
1890-10-15,-3.78864097595215
1890-11-15,-4.06141948699951
1890-12-15,-5.57920837402344
1891-01-15,-2.42419147491455
1891-02-15,-5.72775363922119
1891-03-15,-3.34410691261292
1891-04-15,-3.7270929813385
1891-05-15,-4.60888624191284
1891-06-15,-5.91730737686157
1891-07-15,-6.24081087112427
1891-08-15,-4.81780672073364
1891-09-15,-4.09195947647095
1891-10-15,-4.46764421463013
1891-11-15,-3.53461360931396
1891-12-15,-3.3134663105011
1892-01-15,-4.59534215927124
1892-02-15,-3.25110125541687
1892-03-15,-3.24096035957336
1892-04-15,-5.49642896652222
1892-05-15,-5.04283952713013
1892-06-15,-7.07358026504517
1892-07-15,-5.4652886390686
1892-08-15,-6.14068222045898
1892-09-15,-4.62409782409668
1892-10-15,-4.51826953887939
1892-11-15,-4.84997463226318
1892-12-15,-3.83305692672729
1893-01-15,-2.74654769897461
1893-02-15,-4.03087425231934
1893-03-15,-5.68742370605469
1893-04-15,-5.11919927597046
1893-05-15,-5.52269220352173
1893-06-15,-6.44841957092285
1893-07-15,-6.56704568862915
1893-08-15,-6.01364326477051
1893-09-15,-4.18830633163452
1893-10-15,-5.26110601425171
1893-11-15,-2.43709945678711
1893-12-15,-3.04380965232849
1894-01-15,-5.07987403869629
1894-02-15,-1.71274435520172
1894-03-15,-3.597407579422
1894-04-15,-6.80471420288086
1894-05-15,-3.83126544952393
1894-06-15,-6.94918489456177
1894-07-15,-4.12145471572876
1894-08-15,-4.5208888053894
1894-09-15,-4.48252058029175
1894-10-15,-3.79133772850037
1894-11-15,-3.34374380111694
1894-12-15,-2.97902059555054
1895-01-15,-6.98486042022705
1895-02-15,-5.06238174438477
1895-03-15,-6.1348237991333
1895-04-15,-4.97109317779541
1895-05-15,-2.72544932365417
1895-06-15,-8.9511775970459
1895-07-15,-6.99540185928345
1895-08-15,-5.76497936248779
1895-09-15,-5.45425605773926
1895-10-15,-4.85452651977539
1895-11-15,-5.42276859283447
1895-12-15,-3.14481854438782
1896-01-15,-3.68834114074707
1896-02-15,-3.10345101356506
1896-03-15,-2.4363386631012
1896-04-15,-2.46612453460693
1896-05-15,-6.65168237686157
1896-06-15,-5.11458158493042
1896-07-15,-4.70161056518555
1896-08-15,-6.33664751052856
1896-09-15,-4.91195678710938
1896-10-15,-0.732976377010345
1896-11-15,-5.12219953536987
1896-12-15,-3.6463086605072
1897-01-15,-2.59426116943359
1897-02-15,-3.66390228271484
1897-03-15,-4.08428049087524
1897-04-15,-2.40972232818604
1897-05-15,-5.22835302352905
1897-06-15,-6.24358701705933
1897-07-15,-5.45584964752197
1897-08-15,-5.72909164428711
1897-09-15,-3.66686820983887
1897-10-15,-1.45913910865784
1897-11-15,-4.49966382980347
1897-12-15,-2.57621026039124
1898-01-15,-4.27679538726807
1898-02-15,-3.62457656860352
1898-03-15,-4.56662940979004
1898-04-15,-5.50378370285034
1898-05-15,-5.97443962097168
1898-06-15,-6.79677534103394
1898-07-15,-6.66757440567017
1898-08-15,-3.97841811180115
1898-09-15,-3.72226023674011
1898-10-15,-5.14304113388062
1898-11-15,-5.21441841125488
1898-12-15,-1.04165744781494
1899-01-15,-2.16692233085632
1899-02-15,-1.89074003696442
1899-03-15,-3.26101493835449
1899-04-15,-2.57463955879211
1899-05-15,-4.45139980316162
1899-06-15,-4.31638336181641
1899-07-15,-5.57231521606445
1899-08-15,-6.39845323562622
1899-09-15,-5.00136566162109
1899-10-15,-1.94960987567902
1899-11-15,-4.84875535964966
1899-12-15,-3.89356422424316
1900-01-15,-4.29232740402222
1900-02-15,-6.03791046142578
1900-03-15,-7.24833297729492
1900-04-15,-5.89979410171509
1900-05-15,-4.84603309631348
1900-06-15,-7.21697854995728
1900-07-15,-4.71000289916992
1900-08-15,-4.73150539398193
1900-09-15,-3.70870280265808
1900-10-15,-1.91989386081696
1900-11-15,-6.26128673553467
1900-12-15,-4.5835337638855
1901-01-15,-2.1337513923645
1901-02-15,-3.14346432685852
1901-03-15,-4.78408241271973
1901-04-15,-4.46206712722778
1901-05-15,-4.31859159469604
1901-06-15,-5.7589282989502
1901-07-15,-5.46786165237427
1901-08-15,-5.76361083984375
1901-09-15,-2.77837896347046
1901-10-15,-3.39815449714661
1901-11-15,-4.93111896514893
1901-12-15,-3.53648805618286
1902-01-15,-3.36104011535645
1902-02-15,-3.83257913589478
1902-03-15,-2.9836220741272
1902-04-15,-3.7526330947876
1902-05-15,-5.61921453475952
1902-06-15,-6.13696908950806
1902-07-15,-5.60965490341187
1902-08-15,-4.96826553344727
1902-09-15,-3.45777440071106
1902-10-15,-3.64078164100647
1902-11-15,-4.94290781021118
1902-12-15,-3.42696976661682
1903-01-15,-7.17749404907227
1903-02-15,-4.74730777740479
1903-03-15,-5.13866758346558
1903-04-15,-5.98049783706665
1903-05-15,-5.39684391021729
1903-06-15,-6.16914224624634
1903-07-15,-6.45209169387817
1903-08-15,-5.46723413467407
1903-09-15,-5.56253337860107
1903-10-15,-5.30580568313599
1903-11-15,-4.74123668670654
1903-12-15,-3.78011178970337
1904-01-15,-5.16770076751709
1904-02-15,-6.27941131591797
1904-03-15,-5.92999267578125
1904-04-15,-6.44145441055298
1904-05-15,-6.83054208755493
1904-06-15,-6.29049730300903
1904-07-15,-4.16345596313477
1904-08-15,-5.22727489471436
1904-09-15,-2.35769534111023
1904-10-15,-1.23899126052856
1904-11-15,-6.47924613952637
1904-12-15,-2.74025392532349
1905-01-15,-5.38296175003052
1905-02-15,-4.15207386016846
1905-03-15,-3.67473101615906
1905-04-15,-2.8373658657074
1905-05-15,-7.24453687667847
1905-06-15,-6.13523244857788
1905-07-15,-6.69152545928955
1905-08-15,-5.3878493309021
1905-09-15,-3.68457341194153
1905-10-15,-0.678126990795135
1905-11-15,-3.77998089790344
1905-12-15,-2.79744076728821
1906-01-15,-3.76296591758728
1906-02-15,-1.71854984760284
1906-03-15,-3.60720539093018
1906-04-15,-4.65781497955322
1906-05-15,-10.1459007263184
1906-06-15,-10.3261156082153
1906-07-15,-6.99842119216919
1906-08-15,-4.61762380599976
1906-09-15,-4.49480676651001
1906-10-15,-2.67600274085999
1906-11-15,-3.24971103668213
1906-12-15,-4.06296348571777
1907-01-15,-0.521609306335449
1907-02-15,-4.29306793212891
1907-03-15,-4.88527584075928
1907-04-15,-4.75145149230957
1907-05-15,-4.53250026702881
1907-06-15,-5.61421298980713
1907-07-15,-5.06763696670532
1907-08-15,-7.96142196655273
1907-09-15,-4.43268251419067
1907-10-15,-3.09244203567505
1907-11-15,-4.31138896942139
1907-12-15,-3.79746913909912
1908-01-15,-6.68397665023804
1908-02-15,-4.07706689834595
1908-03-15,-3.37389302253723
1908-04-15,-4.83626985549927
1908-05-15,-6.54274272918701
1908-06-15,-6.71639966964722
1908-07-15,-6.38316059112549
1908-08-15,-5.79855728149414
1908-09-15,-2.9792366027832
1908-10-15,-4.42845487594604
1908-11-15,-2.70400643348694
1908-12-15,-3.2000298500061
1909-01-15,-2.41335272789001
1909-02-15,-2.25640797615051
1909-03-15,-5.36556577682495
1909-04-15,-5.59566736221313
1909-05-15,-6.86487627029419
1909-06-15,-4.86891412734985
1909-07-15,-6.45971059799194
1909-08-15,-5.43852853775024
1909-09-15,-3.53768229484558
1909-10-15,-3.62106108665466
1909-11-15,-7.32365942001343
1909-12-15,-3.73453235626221
1910-01-15,-1.66659033298492
1910-02-15,-6.2884349822998
1910-03-15,-5.85429191589355
1910-04-15,-3.46983504295349
1910-05-15,-5.302894115448
1910-06-15,-5.87750244140625
1910-07-15,-4.30336952209473
1910-08-15,-5.48439884185791
1910-09-15,-4.48035955429077
1910-10-15,-2.40907287597656
1910-11-15,-6.8493185043335
1910-12-15,-2.51489663124084
1911-01-15,-6.07046175003052
1911-02-15,-5.05093574523926
1911-03-15,-2.24294662475586
1911-04-15,-3.42470264434814
1911-05-15,-9.03050899505615
1911-06-15,-7.24717569351196
1911-07-15,-4.49408054351807
1911-08-15,-5.09060096740723
1911-09-15,-5.59832763671875
1911-10-15,-4.72297191619873
1911-11-15,-4.50488805770874
1911-12-15,-4.39469623565674
1912-01-15,-5.6456093788147
1912-02-15,-5.06090545654297
1912-03-15,-3.59728980064392
1912-04-15,-6.53563070297241
1912-05-15,-5.29519701004028
1912-06-15,-5.21151065826416
1912-07-15,-5.37239599227905
1912-08-15,-3.29499650001526
1912-09-15,-2.3624587059021
1912-10-15,-6.03412771224976
1912-11-15,-5.00764322280884
1912-12-15,-6.6899938583374
1913-01-15,-7.23631954193115
1913-02-15,-4.39064836502075
1913-03-15,-4.71332406997681
1913-04-15,-5.64009046554565
1913-05-15,-6.10838317871094
1913-06-15,-6.90135288238525
1913-07-15,-6.34582901000977
1913-08-15,-2.95262813568115
1913-09-15,-4.3844633102417
1913-10-15,-1.80370855331421
1913-11-15,-5.30840349197388
1913-12-15,-2.2090699672699
1914-01-15,-3.84825325012207
1914-02-15,-3.31868672370911
1914-03-15,-3.62327027320862
1914-04-15,-3.81740784645081
1914-05-15,-4.80510234832764
1914-06-15,-3.78873801231384
1914-07-15,-6.22469186782837
1914-08-15,-7.44439888000488
1914-09-15,-3.54203248023987
1914-10-15,-3.56019735336304
1914-11-15,-1.20787930488586
1914-12-15,-3.10499024391174
1915-01-15,-3.93467879295349
1915-02-15,-4.89678001403809
1915-03-15,-5.61127233505249
1915-04-15,-4.32915782928467
1915-05-15,-5.83533096313477
1915-06-15,-4.14374732971191
1915-07-15,-6.17260503768921
1915-08-15,-6.33421230316162
1915-09-15,-5.10662269592285
1915-10-15,-5.93425607681274
1915-11-15,-2.49334788322449
1915-12-15,-3.79674339294434
1916-01-15,-5.75126504898071
1916-02-15,-4.99505376815796
1916-03-15,-3.58597350120544
1916-04-15,-4.82500886917114
1916-05-15,-7.62302827835083
1916-06-15,-4.35872411727905
1916-07-15,-5.97520399093628
1916-08-15,-6.11771059036255
1916-09-15,-1.90552687644958
1916-10-15,-3.10944199562073
1916-11-15,-4.23282670974731
1916-12-15,-2.88227367401123
1917-01-15,-7.70495748519897
1917-02-15,-4.25048446655273
1917-03-15,-1.81567645072937
1917-04-15,-3.27867102622986
1917-05-15,-4.34734392166138
1917-06-15,-6.20601224899292
1917-07-15,-6.40529918670654
1917-08-15,-4.19538736343384
1917-09-15,-3.57265663146973
1917-10-15,-2.85610413551331
1917-11-15,-2.66163659095764
1917-12-15,-3.07328987121582
